Session_Connection_Time,Bytes Transferred,Kali_Trace_Used,Servers_Corrupted,Pages_Corrupted,Location,WPM_Typing_Speed
37.0,779.05,1,7.46,13.0,Hong Kong,43.64
42.0,869.04,0,6.45,15.0,Saint Helena,41.27
49.0,905.5,1,8.3,13.0,Iran,43.33
48.0,718.61,1,6.36,13.0,Tuvalu,41.85
39.0,1021.2,0,9.09,14.0,Montserrat,43.85
50.0,855.74,1,7.39,14.0,Costa Rica,43.72
45.0,1057.61,0,7.54,14.0,Malawi,44.28
46.0,765.98,1,8.5,14.0,Micronesia,43.58
35.0,717.42,0,5.08,14.0,Brunei Darussalam,46.92
40.0,774.59,0,6.94,14.0,Tunisia,43.36
31.0,905.1,0,6.27,15.0,Libyan Arab Jamahiriya,45.33
48.0,957.19,1,6.95,13.0,Guyana,43.43
32.0,563.64,0,7.13,13.0,Cameroon,45.99
39.0,852.69,1,7.9,14.0,Trinidad and Tobago,45.7
53.0,992.47,1,7.88,14.0,Nicaragua,43.3
29.0,1273.04,0,6.67,14.0,Slovakia (Slovak Republic),44.36
42.0,921.8,0,7.72,13.0,Ethiopia,46.14
51.0,904.86,1,8.35,14.0,Bulgaria,43.25
37.0,634.7,1,7.4,14.0,Ecuador,44.25
36.0,831.48,1,6.49,14.0,Trinidad and Tobago,44.67
38.0,574.09,1,8.1,14.0,Mauritania,43.34
30.0,797.62,0,7.55,13.0,India,42.08
28.0,716.01,1,8.86,14.0,Estonia,44.46
39.0,485.16,0,7.84,14.0,Grenada,42.35
51.0,737.22,1,7.74,14.0,Armenia,45.02
46.0,925.89,1,8.51,14.0,Antigua and Barbuda,44.34
60.0,836.68,1,7.45,13.0,Comoros,41.41
48.0,844.2,1,8.08,14.0,Lithuania,45.93
42.0,805.38,0,6.72,13.0,Congo,40.57
52.0,669.21,1,7.35,13.0,Bangladesh,46.26
33.0,1019.94,0,6.46,14.0,Isle of Man,45.45
51.0,1243.86,0,6.26,14.0,Antigua and Barbuda,44.78
45.0,846.68,0,9.98,15.0,French Southern Territories,42.24
36.0,1056.69,1,6.11,14.0,United States Minor Outlying Islands,42.48
48.0,934.01,1,7.97,14.0,United States Minor Outlying Islands,44.58
52.0,660.79,1,8.08,13.0,Venezuela,44.67
36.0,555.32,0,6.59,14.0,Grenada,44.3
47.0,664.28,1,5.92,14.0,Switzerland,42.75
37.0,828.68,0,6.63,14.0,Saint Martin,42.27
37.0,855.17,1,8.68,14.0,Indonesia,45.0
46.0,640.06,0,6.89,14.0,Cocos (Keeling) Islands,44.48
39.0,596.69,0,8.73,14.0,Gabon,42.1
48.0,776.02,1,8.63,14.0,Palestinian Territory,44.58
36.0,821.21,0,6.35,14.0,Saint Pierre and Miquelon,48.6
35.0,828.09,1,7.14,15.0,Martinique,45.25
40.0,874.47,0,7.83,14.0,Russian Federation,45.02
55.0,686.47,1,7.5,13.0,Syrian Arab Republic,43.12
49.0,1019.63,0,7.65,13.0,Jordan,44.36
45.0,805.67,1,6.71,15.0,Madagascar,40.74
42.0,972.14,1,7.04,14.0,Northern Mariana Islands,44.24
44.0,1045.32,0,7.03,14.0,Guinea-Bissau,44.22
43.0,780.66,0,7.16,14.0,Burkina Faso,44.06
46.0,783.48,1,7.82,14.0,British Virgin Islands,43.09
36.0,594.29,0,7.14,15.0,Falkland Islands (Malvinas),43.2
38.0,959.81,1,7.84,13.0,China,41.54
40.0,413.92,1,6.93,15.0,Netherlands,40.76
48.0,1040.38,0,7.17,15.0,Reunion,42.33
47.0,814.26,1,7.16,13.0,Philippines,42.76
28.0,887.3,0,7.49,12.0,Northern Mariana Islands,43.35
49.0,1081.16,0,5.73,14.0,Burkina Faso,45.49
39.0,861.74,1,6.82,14.0,United Kingdom,41.61
42.0,717.05,1,7.6,13.0,Korea,44.96
43.0,952.19,1,7.06,13.0,Sudan,44.15
37.0,581.9,0,6.44,14.0,Guinea-Bissau,44.28
40.0,930.52,0,8.47,13.0,Uzbekistan,42.65
35.0,669.51,0,7.12,14.0,Kiribati,45.94
31.0,844.64,1,7.48,14.0,Timor-Leste,41.86
43.0,859.48,1,7.02,14.0,Costa Rica,46.0
41.0,752.95,0,9.37,14.0,Heard Island and McDonald Islands,46.52
49.0,965.09,0,8.19,13.0,Saint Kitts and Nevis,47.08
49.0,704.64,0,7.96,14.0,Benin,45.34
44.0,948.6,1,7.89,14.0,United Arab Emirates,44.01
45.0,1077.69,1,8.33,13.0,Norway,44.83
43.0,881.46,0,7.64,14.0,Czech Republic,43.79
38.0,916.41,1,8.13,13.0,Malaysia,43.81
33.0,589.62,1,7.52,13.0,Saint Helena,44.11
41.0,808.67,1,7.41,14.0,Georgia,45.21
46.0,757.14,1,6.09,14.0,Oman,40.77
57.0,898.29,1,5.95,14.0,Netherlands,41.15
46.0,921.99,0,9.74,14.0,Singapore,40.0
52.0,957.47,1,6.37,14.0,Taiwan,41.04
50.0,535.88,0,7.16,14.0,Grenada,42.39
35.0,1018.53,1,7.75,14.0,Cyprus,45.79
40.0,842.59,1,6.41,14.0,Bahamas,43.32
34.0,878.07,0,7.65,15.0,Cook Islands,42.87
44.0,946.83,0,8.27,13.0,Egypt,44.39
45.0,1081.75,1,5.66,13.0,Macao,44.69
52.0,970.78,1,6.97,13.0,Cape Verde,42.84
31.0,823.61,0,7.35,14.0,Sri Lanka,47.0
47.0,853.6,0,7.4,15.0,British Indian Ocean Territory (Chagos Archipelago),47.16
55.0,595.19,0,8.04,14.0,Western Sahara,45.14
40.0,816.29,1,8.71,13.0,Syrian Arab Republic,44.36
40.0,1024.68,1,8.29,15.0,Czech Republic,46.24
45.0,921.05,0,5.82,13.0,Togo,43.01
42.0,500.49,0,8.21,12.0,Sweden,43.7
42.0,978.74,1,8.43,14.0,French Polynesia,45.45
45.0,756.64,0,8.12,13.0,Iraq,42.95
50.0,1105.8,1,6.69,14.0,Moldova,45.61
52.0,749.56,1,7.2,14.0,Dominican Republic,44.04
31.0,962.5,1,6.54,14.0,Czech Republic,44.5
41.0,871.18,1,6.89,14.0,Christmas Island,45.88
55.0,804.37,1,10.0,13.0,Cuba,43.74
33.0,916.74,1,6.96,14.0,Pitcairn Islands,42.5
38.0,546.22,1,7.72,14.0,Ukraine,40.58
45.0,952.8,1,7.4,14.0,Switzerland,46.02
42.0,603.0,0,6.51,13.0,Greece,42.04
33.0,709.34,1,7.42,14.0,Burundi,42.49
38.0,407.63,0,7.68,14.0,Palau,48.11
40.0,920.82,1,8.52,14.0,Macao,47.97
43.0,712.2,1,7.5,13.0,Papua New Guinea,41.72
56.0,1190.87,0,5.77,14.0,Reunion,45.16
47.0,897.11,0,8.33,15.0,Rwanda,45.4
32.0,799.24,1,7.19,14.0,Svalbard & Jan Mayen Islands,44.41
43.0,663.74,1,7.45,13.0,Liechtenstein,46.76
38.0,840.81,0,6.35,13.0,Niger,44.32
55.0,970.68,0,7.93,15.0,Haiti,43.68
27.0,844.01,0,7.73,13.0,Tuvalu,45.89
47.0,540.31,0,7.78,13.0,Colombia,43.95
46.0,1046.05,0,6.86,15.0,Azerbaijan,42.75
44.0,675.72,0,7.8,14.0,Latvia,43.04
43.0,837.58,0,6.29,14.0,Saint Barthelemy,44.69
49.0,1330.5,1,7.96,13.0,Andorra,42.56
40.0,993.62,0,7.03,14.0,Australia,43.46
49.0,847.11,0,9.03,13.0,Antarctica (the territory South of 60 deg S),42.11
48.0,1114.98,1,6.74,14.0,Trinidad and Tobago,43.92
52.0,800.64,0,6.1,14.0,United States Virgin Islands,43.45
39.0,866.95,0,6.82,14.0,Paraguay,44.12
33.0,1129.19,1,6.77,14.0,Mauritania,44.34
37.0,832.2,1,7.75,15.0,Libyan Arab Jamahiriya,42.24
52.0,942.14,1,6.95,14.0,Myanmar,45.78
37.0,1053.76,1,7.34,14.0,Indonesia,41.59
48.0,870.01,1,7.61,14.0,Antigua and Barbuda,44.98
35.0,699.3,1,7.51,14.0,Saint Kitts and Nevis,45.4
44.0,881.73,1,7.05,15.0,Reunion,43.8
51.0,723.94,1,6.34,13.0,Paraguay,44.27
41.0,760.15,0,7.63,14.0,Equatorial Guinea,41.8
44.0,957.05,1,6.38,13.0,United Arab Emirates,42.17
41.0,944.84,1,7.79,14.0,Belgium,41.73
33.0,834.11,0,5.79,14.0,Jamaica,44.96
41.0,706.51,0,7.61,14.0,French Southern Territories,44.58
44.0,749.63,0,7.26,14.0,Germany,42.6
42.0,1056.32,0,7.98,14.0,Nauru,43.92
45.0,584.73,1,6.56,15.0,Ukraine,41.72
39.0,830.06,0,7.5,14.0,Guernsey,42.7
44.0,794.9,1,6.27,14.0,Zimbabwe,43.39
52.0,951.14,0,8.66,14.0,Bulgaria,47.74
43.0,1039.8,1,7.08,13.0,Iraq,44.98
39.0,833.94,0,7.52,14.0,Svalbard & Jan Mayen Islands,46.68
50.0,842.78,0,6.62,15.0,United States Virgin Islands,44.69
37.0,746.81,0,7.93,14.0,Guinea-Bissau,43.12
39.0,761.91,1,6.99,14.0,Belarus,43.23
43.0,983.48,0,8.6,13.0,British Indian Ocean Territory (Chagos Archipelago),43.21
39.0,690.22,1,6.8,13.0,Guinea-Bissau,42.75
36.0,1060.69,1,6.26,14.0,Canada,43.86
42.0,729.47,0,7.95,14.0,Tuvalu,45.27
